course_code,course_title,department,document_url,source_page_url,source_name,audit_status,academic_year,term,course_code_found,page_count,pdf_sha256,evidence,rejection_reason
CHEMENG 3TP6,Transport Phenomena,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2025/09/CHEMENG-3TP6_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,10,4b2c770f8d1db99f6db783f33068685e58e0dd48a259da83b3f1a6b494c159e9,filename: f2025; matching course code,
CHEMENG 3U04,Unit Operations,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2025/09/CHEMENG-3U04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,8,8061cf81f5f15c3dbe393cb5639d3fc3829dcbe74171e3151c45335ef481ea14,filename: f2025; matching course code,
CHEMENG 4A03,Energy Systems Engineering,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2025/05/ChE4A03_CourseOutlineCleaned_2025_v01.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,manual_review,,,True,8,d364d2afa8bb4de2af19fbb00016d78173d82928fa7539ca3781ed003285fc92,matching course code,academic year or term could not be verified
CHEMENG 4B03,Polymer Reaction Engineering,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-4B03_6B03_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,8,f71b4045ff7cfaea2aa5d91b11364d6d275caf34ee1d4473d28a278193daf587,filename: f2025; matching course code,
CHEMENG 4K03,Reactor Design for Heterogeneous Systems: Principles and Machine Learning Perspective,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-4K03_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,7,cdc82d82a827023b795dbae72fe416ce81ac07c5adbab941fc224408ea1970f9,filename: f2025; matching course code,
CHEMENG 4L03,Advanced Laboratory Skills,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/4L03-Syllabus-Word-Doc-Aug-25-2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,21,de4d5f330f59edd113ed9a6d99fd9f6827fe3c74837411e4c642a961c594d6ab,document: fall 2025; matching course code,
CHEMENG 4M03,Industrial Separation Processes,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/4M03CourseOutline2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,5,8f7a4353d63e59e5e0d98e557d5abbc239281a4db1ae968654d771dbe949130b,"visual: Course Outline; Term I, 2025/2026",
CHEMENG 4N04,Engineering Economics and Problem Solving,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/4N04_Syllabus_2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,approved,2025,fall,True,14,0a6fda5d98732f36ca734ddf130a832b8003917b070fdb5996ad351b80ac221d,document: fall 2025; matching course code,
CHEMENG 4Y04A,Senior Independent Project,CHEMENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMICAL-ENGINEERING-4Y04-Course-Outline-and-Supervisory-Agreement-1.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,engineering_chemical,manual_review,,,True,2,28dc8f3d3673790f9d52262142d162d53b7e8df6ef8a06c4e1639b260dcbad40,matching course code,academic year or term could not be verified
CIVENG 2A03,Surveying and Measurement for Transportation and Construction,CIVENG,https://www.eng.mcmaster.ca//app/uploads/2024/01/CIVENG-2A03-Course-Outline-Fall-2025.pdf,https://www.eng.mcmaster.ca/civil/courses/,engineering_civil,approved,2025,fall,True,7,664711f6220de44f4fd1e58d4be0bc238ac75cee1ff6ebda186665e59563e099,filename: fall-2025; matching course code,
