course_code,course_title,department,outline_status,preferred_source_kind,preferred_source_name,preferred_academic_year,preferred_term,preferred_professors,preferred_document_urls,preferred_source_page_url,needs_review
CHEM 3II3,Introduction to Transition Metal Chemistry,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Terry Chu,https://mcmaster.simplesyllabusca.com/doc/6a43uxa2g/Fall-2026-CHEM-3II3-C01-CHUT-Introduction-to-Transition-Metal-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 3LA3,Strategies for Chemical Discovery,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Linda Davis,https://mcmaster.simplesyllabusca.com/doc/5s63k4o7x/Fall-2026-CHEM-3LA3-C01-PRACKE-Strategies-for-Chemical-Discovery?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 3OA3,Organic Synthesis,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Alfredo Capretta,https://mcmaster.simplesyllabusca.com/doc/sjh7wr9pk/Fall-2026-CHEM-3OA3-C01-CAPRETF-Organic-Synthesis?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 3PC3,Mathematical Tools for Chemical Problems,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Rodrigo Alejandro Vargas Hernandez,https://mcmaster.simplesyllabusca.com/doc/oze3g39b6/Fall-2026-CHEM-3PC3-C01-VARGASHR-Mathematical-Tools-for-Chemical-Problems?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 3RP3,Research Practicum in Chemistry,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/eem20svlc/Fall-2026-CHEM-3RP3-C01-TBD-Research-Practicum-in-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 4G12A,Senior Thesis,CHEM,missing,,,,,,,,False
CHEM 4IC3,"Solid State Inorganic Materials: Structures, Properties, Characterization and Applications",CHEM,missing,,,,,,,,False
CHEM 4OA3,Natural Products,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,James Mcnulty,https://mcmaster.simplesyllabusca.com/doc/wd2ztzs6j/Fall-2026-CHEM-4OA3-C01-JMCNULT-Natural-Products?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 4OP3,Polymers and Organic Materials,CHEM,found,simple_syllabus,McMaster Simple Syllabus,2026,fall,Dr. Naveen Chopra,https://mcmaster.simplesyllabusca.com/doc/j8kwomykz/Fall-2026-CHEM-4OP3-C01-CHOPRN16-Polymers-and-Organic-Materials?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,False
CHEM 4Q03,Peer Tutoring in Chemistry,CHEM,missing,,,,,,,,False
