course_code,course_title,department,academic_year,term,section,professor_name,document_url,source_page_url,source_kind,source_name,source_priority,is_preferred,needs_review,retrieved_at
CHEM 3EP3A,Advanced Chemistry Placement,CHEM,2026,fall,,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/i6dbwlw4o/Fall-2026-CHEM-3EP3A-C01-TBD-Advanced-Chemistry-Placement?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 3EP3S,Advanced Chemistry Placement,CHEM,2026,fall,,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/pycc6rq7b/Fall-2026-CHEM-3EP3S-C01-TBD-Advanced-Chemistry-Placement?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 3II3,Introduction to Transition Metal Chemistry,CHEM,2026,fall,,Terry Chu,https://mcmaster.simplesyllabusca.com/doc/6a43uxa2g/Fall-2026-CHEM-3II3-C01-CHUT-Introduction-to-Transition-Metal-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 3LA3,Strategies for Chemical Discovery,CHEM,2026,fall,,Linda Davis,https://mcmaster.simplesyllabusca.com/doc/5s63k4o7x/Fall-2026-CHEM-3LA3-C01-PRACKE-Strategies-for-Chemical-Discovery?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 3OA3,Organic Synthesis,CHEM,2026,fall,,Alfredo Capretta,https://mcmaster.simplesyllabusca.com/doc/sjh7wr9pk/Fall-2026-CHEM-3OA3-C01-CAPRETF-Organic-Synthesis?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 3PC3,Mathematical Tools for Chemical Problems,CHEM,2026,fall,,Rodrigo Alejandro Vargas Hernandez,https://mcmaster.simplesyllabusca.com/doc/oze3g39b6/Fall-2026-CHEM-3PC3-C01-VARGASHR-Mathematical-Tools-for-Chemical-Problems?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 3RP3,Research Practicum in Chemistry,CHEM,2026,fall,,Dr. Yurij Mozharivskyj,https://mcmaster.simplesyllabusca.com/doc/eem20svlc/Fall-2026-CHEM-3RP3-C01-TBD-Research-Practicum-in-Chemistry?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 4OA3,Natural Products,CHEM,2026,fall,,James Mcnulty,https://mcmaster.simplesyllabusca.com/doc/wd2ztzs6j/Fall-2026-CHEM-4OA3-C01-JMCNULT-Natural-Products?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEM 4OP3,Polymers and Organic Materials,CHEM,2026,fall,,Dr. Naveen Chopra,https://mcmaster.simplesyllabusca.com/doc/j8kwomykz/Fall-2026-CHEM-4OP3-C01-CHOPRN16-Polymers-and-Organic-Materials?mode=view,https://mcmaster.simplesyllabusca.com/api2/doc-library-search,simple_syllabus,McMaster Simple Syllabus,1,True,False,2026-09-04T19:34:27.544988+00:00
CHEMENG 2D04,Chemical Engineering Principles I,CHEMENG,,,,Drew Higgins,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-2D04_Course-Outline_F2025-tentative.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 2DW1,Problem Solving Strategies,CHEMENG,,,,Jake Nease,https://www.eng.mcmaster.ca//app/uploads/2025/09/2DW1_Syllabus_2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
CHEMENG 2E04,Numerical Methods and Computing for Chemical Engineers,CHEMENG,,,,Stuart Linley,https://www.eng.mcmaster.ca//app/uploads/2024/01/CHEMENG-2E04_Course-Outline_F2025.pdf,https://www.eng.mcmaster.ca/chemeng/courses/,official_department,engineering_chemical,2,True,True,2026-09-04T19:34:27.544988+00:00
