course_code,course_title,department
COMMERCE 4SD3,Commercial Law,COMMERCE
COMMERCE 4SE3,Entrepreneurship,COMMERCE
COMMERCE 4SM3,Sports Management,COMMERCE
COMMERCE 4SY3,Independent Study in Business,COMMERCE
COMPENG 2DI4,Logic Design,COMPENG
COMPENG 2SH4,Principles of Programming,COMPENG
COMPENG 3DQ5,Digital Systems Design,COMPENG
COMPENG 4DK4,Computer Communication Networks,COMPENG
COMPENG 4DM4,Computer Architecture,COMPENG
COMPENG 4OJ4,Research Project,COMPENG
COMPENG 4SL4,Fundamentals of Machine Learning,COMPENG
COMPENG 4SP4,High-Performance Programming,COMPENG
COMPENG 4TL4,Digital Signal Processing,COMPENG
COMPSCI 1JC3,Introduction to Computational Thinking,COMPSCI
COMPSCI 1MD3,Introduction to Programming,COMPSCI
COMPSCI 2C03,Data Structures and Algorithms,COMPSCI
COMPSCI 2GA3,Computer Architecture,COMPSCI
COMPSCI 2LC3,Logical Reasoning for Computer Science,COMPSCI
COMPSCI 2ME3,Introduction to Software Development,COMPSCI
COMPSCI 3GC3,Computer Graphics,COMPSCI
COMPSCI 3MI3,Principles of Programming Languages,COMPSCI
COMPSCI 3RA3,Software Requirements and Security Considerations,COMPSCI
COMPSCI 3SH3,Computer Science Practice and Experience: Operating Systems,COMPSCI
COMPSCI 3VA3,Information Visualization and Visual Analytics,COMPSCI
COMPSCI 3X03,Scientific Computation,COMPSCI
COMPSCI 4AL3,Applications of Machine Learning,COMPSCI
COMPSCI 4CR3,Applied Cryptography,COMPSCI
COMPSCI 4HC3,Human Computer Interfaces,COMPSCI
COMPSCI 4ML3,Fundamentals of Machine Learning,COMPSCI
COMPSCI 4O03,Linear Optimization,COMPSCI
COMPSCI 4TE3,Continuous Optimization,COMPSCI
COMPSCI 4TH3,Theory of Computation,COMPSCI
COMPSCI 4Z03,Directed Readings,COMPSCI
COMPSCI 4ZP6A,Capstone Project,COMPSCI
CONSENT 1A00,Consent,CONSENT
DATASCI 2G03,Scientific Computing,DATASCI
EARTHSC 1G03,Earth and the Environment,EARTHSC
EARTHSC 2E03,Earth History,EARTHSC
EARTHSC 2GG3,Natural Disasters,EARTHSC
EARTHSC 2K03,Optical Crystallography and Mineralogy,EARTHSC
EARTHSC 3CC3,Earth's Changing Climate,EARTHSC
EARTHSC 3FE3,Field Camp,EARTHSC
EARTHSC 3RD3,Research Design and Dissemination in Earth and Environmental Sciences,EARTHSC
EARTHSC 3V03,Environmental Geophysics,EARTHSC
EARTHSC 3W03,Physical Hydrogeology,EARTHSC
EARTHSC 4G03,Glacial Sediments and Environments,EARTHSC
EARTHSC 4MT6A,Senior Thesis,EARTHSC
EARTHSC 4T03,Plate Tectonics and Resources,EARTHSC
ECON 1B03,Introductory Microeconomics,ECON
ECON 1BB3,Introductory Macroeconomics,ECON
ECON 1ME3,Introduction to Mathematical Economics,ECON
ECON 2A03,Economics of Labour-Market Issues,ECON
ECON 2B03,Analysis of Economic Data,ECON
ECON 2CC3,Health Economics and its Application to Health Policy,ECON
ECON 2I03,Financial Economics,ECON
ECON 2K03,Economic History of Canada,ECON
ECON 2NN3,Political Economy of Development,ECON
ECON 2P03,Economics of Professional Sports,ECON
ECON 2Y03,Intermediate Macroeconomics I,ECON
ECON 2YY3,Intermediate Macroeconomics II,ECON
ECON 2Z03,Intermediate Microeconomics I,ECON
ECON 2ZZ3,Intermediate Microeconomics II,ECON
ECON 3B03,Public Sector Economics: Expenditures,ECON
ECON 3BE3,Behavioural Economics,ECON
ECON 3E03,Applied Econometrics,ECON
ECON 3EE3,Econometrics I,ECON
ECON 3H03,International Monetary Economics,ECON
ECON 3HH3,International Trade,ECON
ECON 3K03,Monetary Economics,ECON
ECON 3M03,Introduction to Game Theory,ECON
ECON 3T03,Economic Development,ECON
ECON 4F03,Methods of Inquiry in Economics,ECON
ECON 4FF3,Research Methods in Economics,ECON
ECON 4G03,Econometrics II,ECON
ECON 4M06A,Direct Research 1,ECON
ECON 4N03,Directed Research II,ECON
ECON 4T03,Advanced Economic Theory I,ECON
ELECBME 5P06A,Integrated Electrical & Biomedical Engineering Capstone Design Project,ELECBME
ELECENG 2CI4,Introduction to Circuit Analysis,ELECENG
ELECENG 2MM3,Electrical Circuits and Power,ELECENG
ELECENG 3EJ4,Electronic Devices and Circuits II,ELECENG
ELECENG 3FK4,Electromagnetics II,ELECENG
ELECENG 3N03,Analog Electronics for Measuring Systems,ELECENG
ELECENG 3TP3,Signal & Systems,ELECENG
ELECENG 3TQ3,Advanced Probability and Random Processes,ELECENG
