course_code,course_title,professor_name,url
CMST 2TM6,Foundations in Communication Theory and Methods,Selina Mudavanhu,https://mcmaster.simplesyllabusca.com/doc/q0fzqhq0v/Fall-2026-CMST-2TM6-C01-MUDAVANS-Foundations-in-Communication-Theory-and-Methods?mode=view
CMST 3B03,Practical Aspects of Media Production,Selina Mudavanhu,https://mcmaster.simplesyllabusca.com/doc/vu747wepo/Fall-2026-CMST-3B03-C01-MUDAVANS-Practical-Aspects-of-Media-Production?mode=view
CMST 3PM3,"Public Memory, Media, and African Diaspora Studies",Gabriel M. Juliano,https://mcmaster.simplesyllabusca.com/doc/x4erdwse2/Fall-2026-CMST-3PM3-C01-MOURAJUG-Public-Memory-Media-and-African-Diaspora-Studies?mode=view
CMST 3S03,Television and Society,Dr. Clementine Oberst,https://mcmaster.simplesyllabusca.com/doc/ycu9wjq01/Fall-2026-CMST-3S03-C01-OBERSTC-Television-and-Society?mode=view
CMST 3SC3,Strategic Communications,,https://mcmaster.simplesyllabusca.com/doc/pkx8tjm3a/Fall-2026-CMST-3SC3-C01-TFLYNN-Strategic-Communications?mode=view
CMST 3WR3,Professional Writing,Rebecca Dewael,https://mcmaster.simplesyllabusca.com/doc/ec8vxvcmf/Fall-2026-CMST-3WR3-C01-DEWAELR-Professional-Writing?mode=view
CMST 4D03,International Communication,Niloofar Hooman,https://mcmaster.simplesyllabusca.com/doc/s78q11dqb/Fall-2026-CMST-4D03-C01-HOOMANN-International-Communication?mode=view
CMST 4E03,Media and Promotionalism,Aidan Moir,https://mcmaster.simplesyllabusca.com/doc/niy0fvjqy/Fall-2026-CMST-4E03-C01-MOIRA2-Media-and-Promotionalism?mode=view
CMST 4N03,The News,Christine Quail,https://mcmaster.simplesyllabusca.com/doc/p92uzvdis/Fall-2026-CMST-4N03-C01-QUAILC-The-News?mode=view
CMST 4X03,Communications for Campaigns and Elections,Davis Vallesi,https://mcmaster.simplesyllabusca.com/doc/s6n6wg3zh/Fall-2026-CMST-4X03-C01-VALLESD-Communications-for-Campaigns-and-Elections?mode=view
CMTYENGA 2A03,Foundations of Community Engagement,Sarah Precious,https://mcmaster.simplesyllabusca.com/doc/j4ztgp2pm/Fall-2026-CMTYENGA-2A03-C01-PRECIOUS-Foundations-of-Community-Engagement?mode=view
CMTYENGA 2MC3,Design and Creation of Engaged Learning for Community Youth,Rebecca Collins-Nelsen,https://mcmaster.simplesyllabusca.com/doc/8enslklln/Fall-2026-CMTYENGA-2MC3-C01-COLLIR2-Design-and-Creation-of-Engaged-Learning-for-Community-Youth?mode=view
CMTYENGA 4A06,Semester at CityLAB: Design and Dialogue Inquiry,Rachel Johnson (Project Management),https://mcmaster.simplesyllabusca.com/doc/ymdxu67zt/Fall-2026-CMTYENGA-4A06-C01-KAYRL-Semester-at-CityLAB-Design-and-Dialogue-Inquiry?mode=view
COGSCIL 6D03,Computers and Linguistic Analysis,Dr. Daniel Schmidtke,https://mcmaster.simplesyllabusca.com/doc/s3gv0dt6y/Fall-2026-COGSCIL-6D03-C01-SCHMIDDF-Computers-and-Linguistic-Analysis?mode=view
COGSCIL 6EL3,Laboratory in Experimental Linguistics,Dr. Emalie Hendel,https://mcmaster.simplesyllabusca.com/doc/2lfx38ptj/Fall-2026-COGSCIL-6EL3-C01-HENDELE-Laboratory-in-Experimental-Linguistics?mode=view
COGSCIL 721,Fundamentals of the Cognitive Neuroscience of Language,Phoebe Gaston,https://mcmaster.simplesyllabusca.com/doc/mj00r5h26/Fall-2026-COGSCIL-721-C01-GASTONP-Fundamentals-of-the-Cognitive-Neuroscience-of-Language?mode=view
COGSCIL 730,Language Analysis Methods: Phonology and Morphology,Daniel Pape,https://mcmaster.simplesyllabusca.com/doc/vwhzd1l54/Fall-2026-COGSCIL-730-C01-PAPED-Language-Analysis-Methods-Phonology-and-Morphology?mode=view
COMMERCE 2CO0,Co-op and Career Development Course,,https://mcmaster.simplesyllabusca.com/doc/765xzttj4/Fall-2026-COMMERCE-2CO0-C01-DLITTLE-Co-op-and-Career-Development-Course?mode=view
COMPENG 4TL4,Digital Signal Processing,Ratnasingham Tharmarasa,https://mcmaster.simplesyllabusca.com/doc/y2fie2pzs/Fall-2026-COMPENG-4TL4-L04-THARMR-Digital-Signal-Processing?mode=view
COMPSCI 3MI3,Principles of Programming Languages,JP Rooney,https://mcmaster.simplesyllabusca.com/doc/jwqp0i424/Fall-2026-COMPSCI-3MI3-C01-ROONEYJP-Principles-of-Programming-Languages?mode=view
DATASCI 2G03,Scientific Computing,James Wadsley,https://mcmaster.simplesyllabusca.com/doc/pjtwns377/Fall-2026-DATASCI-2G03-C01-WADSLEY-Scientific-Computing?mode=view
DEMOS 1A03,Demo,Josh Maurin,https://mcmaster.simplesyllabusca.com/doc/ln8uvdrc0/Fall-2026-DEMOS-1A03-C03-MAURINJJ-Demo?mode=view
EARTHSC 1G03,Earth and the Environment,Dr. Maureen Padden,https://mcmaster.simplesyllabusca.com/doc/ks8dwhz64/Fall-2026-EARTHSC-1G03-C01-PADDENM-Earth-and-the-Environment?mode=view
EARTHSC 2GG3,Natural Disasters,Maureen Padden,https://mcmaster.simplesyllabusca.com/doc/t44osy2ui/Fall-2026-EARTHSC-2GG3-C01-PADDENM-Natural-Disasters?mode=view
EARTHSC 3W03,Physical Hydrogeology,Sean K Carey,https://mcmaster.simplesyllabusca.com/doc/ddxlkedbq/Fall-2026-EARTHSC-3W03-C01-CAREYSK-Physical-Hydrogeology?mode=view
ECE 753,Modern Antennas in Wireless Telecommunications,Natalia Koleva Nikolova,https://mcmaster.simplesyllabusca.com/doc/ikikik6n2/Fall-2026-ECE-753-C01-TALIA-Modern-Antennas-in-Wireless-Telecommunications?mode=view
ECON 1ME3,Introduction to Mathematical Economics,Anastasios Papanastasiou,https://mcmaster.simplesyllabusca.com/doc/z31rzzl3g/Fall-2026-ECON-1ME3-C01-PAPANASA-Introduction-to-Mathematical-Economics?mode=view
ECON 2A03,Economics of Labour-Market Issues,Saeed-Ur-Rehman Rana,https://mcmaster.simplesyllabusca.com/doc/rqunmrlfb/Fall-2026-ECON-2A03-C01-RANAS3-Economics-of-Labour-Market-Issues?mode=view
ECON 2Z03,Intermediate Microeconomics I,,https://mcmaster.simplesyllabusca.com/doc/polmoc4pz/Fall-2026-ECON-2Z03-C02-HEZ13-Intermediate-Microeconomics-I?mode=view
ECON 2ZZ3,Intermediate Microeconomics II,Anastasios Papanastasiou,https://mcmaster.simplesyllabusca.com/doc/ipdj3wlsi/Fall-2026-ECON-2ZZ3-C01-PAPANASA-Intermediate-Microeconomics-II?mode=view
ECON 3B03,Public Sector Economics: Expenditures,Dr. Zhen He,https://mcmaster.simplesyllabusca.com/doc/usgitxxeb/Fall-2026-ECON-3B03-C01-HEZ13-Public-Sector-Economics-Expenditures?mode=view
ECON 3H03,International Monetary Economics,Zachary Mahone,https://mcmaster.simplesyllabusca.com/doc/6jdjxjb05/Fall-2026-ECON-3H03-C01-MAHONEZ-International-Monetary-Economics?mode=view
ECON 728,Macroeconomic Theory for Public Policy,Zachary Mahone,https://mcmaster.simplesyllabusca.com/doc/w2kjm60if/Fall-2026-ECON-728-C01-MAHONEZ-Macroeconomic-Theory-for-Public-Policy?mode=view
ECON 788,Health Economics,Michel Grignon,https://mcmaster.simplesyllabusca.com/doc/vczpn4ah9/Fall-2026-ECON-788-C01-GRIGNON-Health-Economics?mode=view
ELECENG 4FJ4,Devices and Antennas for Wireless Systems,Natalia K. Nikolova,https://mcmaster.simplesyllabusca.com/doc/46hduoiq9/Fall-2026-ELECENG-4FJ4-L03-TALIA-Devices-and-Antennas-for-Wireless-Systems?mode=view
ENGLISH 1F03,The Written World,David Hou,https://mcmaster.simplesyllabusca.com/doc/ncltx6ebz/Fall-2026-ENGLISH-1F03-C01-HOUYC-The-Written-World?mode=view
ENGLISH 1G03,Making and Unmaking Literary Traditions,Eugenia Zuroski,https://mcmaster.simplesyllabusca.com/doc/qwvgo5cg3/Fall-2026-ENGLISH-1G03-C01-ZJENKIN-Making-and-Unmaking-Literary-Traditions?mode=view
ENGLISH 2CC3,Settler Colonialism and Writing in Canada,Max Karpinski,https://mcmaster.simplesyllabusca.com/doc/xydgul13f/Fall-2026-ENGLISH-2CC3-C01-KARPINSM-Settler-Colonialism-and-Writing-in-Canada?mode=view
ENGLISH 2CW3,Genre in Creative Writing,Dr. Ki'en Debicki (they/them),https://mcmaster.simplesyllabusca.com/doc/naeced74e/Fall-2026-ENGLISH-2CW3-C01-DEBICKKS-Genre-in-Creative-Writing?mode=view
ENGLISH 2HT3,Shakespeare: Histories and Tragedies,David Hou,https://mcmaster.simplesyllabusca.com/doc/4ct4vwtav/Fall-2026-ENGLISH-2HT3-C01-HOUYC-Shakespeare-Histories-and-Tragedies?mode=view
ENGLISH 3CR3,Writing Out,Selena Kerr Middleton,https://mcmaster.simplesyllabusca.com/doc/jbukj0nxi/Fall-2026-ENGLISH-3CR3-C01-KERRSE-Writing-Out?mode=view
